Field Code,Description,Census Table,Universe
P0040013,White; Black or African American,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040014,White; American Indian and Alaska Native,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040015,White; Asian,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040016,White; Native Hawaiian and Other Pacific Islander,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040017,White; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040018,Black or African American; American Indian and Alaska Native,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040019,Black or African American; Asian,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040020,Black or African American; Native Hawaiian and Other Pacific Islander,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040021,Black or African American; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040022,American Indian and Alaska Native; Asian,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040023,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040024,American Indian and Alaska Native; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040025,Asian; Native Hawaiian and Other Pacific Islander,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040026,Asian; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040027,Native Hawaiian and Other Pacific Islander; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040028,Population of three races:,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040029,White; Black or African American; American Indian and Alaska Native,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040030,White; Black or African American; Asian,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040031,White; Black or African American; Native Hawaiian and Other Pacific Islander,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040032,White; Black or African American; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040033,White; American Indian and Alaska Native; Asian,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040034,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040035,White; American Indian and Alaska Native; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040036,White; Asian; Native Hawaiian and Other Pacific Islander,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040037,White; Asian; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040038,White; Native Hawaiian and Other Pacific Islander; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040039,Black or African American; American Indian and Alaska Native; Asian,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040040,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040041,Black or African American; American Indian and Alaska Native; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040042,Black or African American; Asian; Native Hawaiian and Other Pacific Islander,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040043,Black or African American; Asian; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040044,Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040045,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040046,American Indian and Alaska Native; Asian; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040047,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040048,Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040049,Population of four races:,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040050,White; Black or African American; American Indian and Alaska Native; Asian,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040051,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040052,White; Black or African American; American Indian and Alaska Native; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040053,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040054,White; Black or African American; Asian; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040055,White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040056,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040057,White; American Indian and Alaska Native; Asian; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040058,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040059,White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040060,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040061,Black or African American; American Indian and Alaska Native; Asian; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040062,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040063,Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040064,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040065,Population of five races:,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040066,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040067,White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040068,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040069,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040070,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040071,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040072,Population of six races:,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0040073,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,"P4. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER",Total population 18 years and over
P0050001,Total:,P5. GROUP QUARTERS POPULATION BY MAJOR GROUP QUARTERS TYPE,Population in group quarters
P0050002,Institutionalized population:,P5. GROUP QUARTERS POPULATION BY MAJOR GROUP QUARTERS TYPE,Population in group quarters
P0050003,Correctional facilities for adults,P5. GROUP QUARTERS POPULATION BY MAJOR GROUP QUARTERS TYPE,Population in group quarters
P0050004,Juvenile facilities,P5. GROUP QUARTERS POPULATION BY MAJOR GROUP QUARTERS TYPE,Population in group quarters
P0050005,Nursing facilities/Skilled-nursing facilities,P5. GROUP QUARTERS POPULATION BY MAJOR GROUP QUARTERS TYPE,Population in group quarters
P0050006,Other institutional facilities,P5. GROUP QUARTERS POPULATION BY MAJOR GROUP QUARTERS TYPE,Population in group quarters
P0050007,Noninstitutionalized population:,P5. GROUP QUARTERS POPULATION BY MAJOR GROUP QUARTERS TYPE,Population in group quarters
P0050008,College/University student housing,P5. GROUP QUARTERS POPULATION BY MAJOR GROUP QUARTERS TYPE,Population in group quarters
P0050009,Military quarters,P5. GROUP QUARTERS POPULATION BY MAJOR GROUP QUARTERS TYPE,Population in group quarters
P0050010,Other noninstitutional facilities,P5. GROUP QUARTERS POPULATION BY MAJOR GROUP QUARTERS TYPE,Population in group quarters
H0010001,Total:,H1. OCCUPANCY STATUS,Housing units
H0010002,Occupied,H1. OCCUPANCY STATUS,Housing units
H0010003,Vacant,H1. OCCUPANCY STATUS,Housing units
