Field Code,Description,Census Table,Universe
P0020007,American Indian and Alaska Native alone,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020008,Asian alone,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020009,Native Hawaiian and Other Pacific Islander alone,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020010,Some Other Race alone,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020011,Population of two or more races:,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020012,Population of two races:,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020013,White; Black or African American,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020014,White; American Indian and Alaska Native,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020015,White; Asian,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020016,White; Native Hawaiian and Other Pacific Islander,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020017,White; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020018,Black or African American; American Indian and Alaska Native,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020019,Black or African American; Asian,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020020,Black or African American; Native Hawaiian and Other Pacific Islander,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020021,Black or African American; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020022,American Indian and Alaska Native; Asian,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020023,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020024,American Indian and Alaska Native; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020025,Asian; Native Hawaiian and Other Pacific Islander,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020026,Asian; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020027,Native Hawaiian and Other Pacific Islander; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020028,Population of three races:,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020029,White; Black or African American; American Indian and Alaska Native,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020030,White; Black or African American; Asian,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020031,White; Black or African American; Native Hawaiian and Other Pacific Islander,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020032,White; Black or African American; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020033,White; American Indian and Alaska Native; Asian,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020034,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020035,White; American Indian and Alaska Native; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020036,White; Asian; Native Hawaiian and Other Pacific Islander,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020037,White; Asian; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020038,White; Native Hawaiian and Other Pacific Islander; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020039,Black or African American; American Indian and Alaska Native; Asian,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020040,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020041,Black or African American; American Indian and Alaska Native; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020042,Black or African American; Asian; Native Hawaiian and Other Pacific Islander,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020043,Black or African American; Asian; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020044,Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
P0020045,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,"P2. HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",Total population
